"Sample","Dilution","Count","CFU_Count","Cq","Quantity","CFU_TaqMan","Date_Collected","Collected_By"
"ZH_4","N4.2",8,1600000,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N4.2",8,1600000,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N5",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N5",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N5",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N5.1",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N5.1",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N5.1",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_4","N5.2",NA,NA,"28.313827366601743",3.67372766422985,1280937.12141905,"20241015","ZH"
"ZH_4","N5.2",NA,NA,"28.342780683434796",3.6116087151033,1259277.79466642,"20241015","ZH"
"ZH_4","N5.2",NA,NA,"28.264340653477817",3.78238448360639,1318823.04170376,"20241015","ZH"
"ZH_5","N3",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N3",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N3",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N3.1",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N3.1",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N3.1",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N3.2",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N3.2",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N3.2",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N4",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N4",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N4",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N4.1",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N4.1",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N4.1",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N4.2",NA,NA,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N4.2",NA,NA,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N4.2",NA,NA,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N5",7,1.4e+07,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N5",7,1.4e+07,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N5",7,1.4e+07,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N5.1",8,1.6e+07,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N5.1",8,1.6e+07,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N5.1",8,1.6e+07,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_5","N5.2",5,1e+07,"26.116209541039815",13.404733812222,4673896.0293661,"20241015","ZH"
"ZH_5","N5.2",5,1e+07,"25.82539413948703",15.9092187311923,5547147.39581321,"20241015","ZH"
"ZH_5","N5.2",5,1e+07,"25.951649767465106",14.7690523198054,5149599.83256814,"20241015","ZH"
"ZH_6","N3",NA,NA,"25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"ZH_6","N3",NA,NA,"25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"ZH_6","N3",NA,NA,"25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
"ZH_6","N3.1",NA,NA,"25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"ZH_6","N3.1",NA,NA,"25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"ZH_6","N3.1",NA,NA,"25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
"ZH_6","N3.2",NA,NA,"25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"ZH_6","N3.2",NA,NA,"25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"ZH_6","N3.2",NA,NA,"25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
"ZH_6","N4",NA,NA,"25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"ZH_6","N4",NA,NA,"25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"ZH_6","N4",NA,NA,"25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
"ZH_6","N4.1",NA,NA,"25.49561539123001",19.3199654794105,6736389.63717243,"20241015","ZH"
"ZH_6","N4.1",NA,NA,"25.279879008882986",21.9377342490994,7649140.25421875,"20241015","ZH"
"ZH_6","N4.1",NA,NA,"25.290083803015868",21.8062698479464,7603301.89956291,"20241015","ZH"
